,precision,recall,f1-score,support
0,0.9995059811567099,0.9999823480609344,0.9997441078629477,56651.0
1,0.9852941176470589,0.7052631578947368,0.8220858895705522,95.0
accuracy,0.9994889507630493,0.9994889507630493,0.9994889507630493,0.9994889507630493
macro avg,0.9924000494018843,0.8526227529778356,0.91091499871675,56746.0
weighted avg,0.9994821886949783,0.9994889507630493,0.9994466854765631,56746.0
